Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
63,,,,,,transect butte mercator 19,4.61944803,50.66889150,177.947,Global,0.009,0.021,0.039,0.023,1.914,m,FLOAT,NONE,2026-03-11 10:12:51.6 UTC+01:00,2026-03-11 10:12:56.6 UTC+01:00,26,2.2,2.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
64,,,,,,transect butte mercator 20,4.61943674,50.66887218,177.850,Global,0.017,0.029,0.051,0.034,1.914,m,FLOAT,NONE,2026-03-11 10:13:10.2 UTC+01:00,2026-03-11 10:13:15.2 UTC+01:00,26,2.8,3.3,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
65,,,,,,transect lampada 1,4.61926181,50.66886634,177.585,Global,0.005,0.009,0.013,0.010,1.914,m,FIX,NONE,2026-03-11 10:15:56.8 UTC+01:00,2026-03-11 10:16:01.8 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
66,,,,,,transect lampada 2,4.61925962,50.66888588,177.658,Global,0.005,0.009,0.016,0.011,1.914,m,FIX,NONE,2026-03-11 10:16:18.0 UTC+01:00,2026-03-11 10:16:23.0 UTC+01:00,26,1.5,1.8,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
67,,,,,,transect lampada 3,4.61925752,50.66890726,177.727,Global,0.004,0.008,0.013,0.009,1.914,m,FIX,NONE,2026-03-11 10:16:42.2 UTC+01:00,2026-03-11 10:16:47.2 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
68,,,,,,transect lampada 4,4.61925383,50.66892908,177.703,Global,0.005,0.008,0.013,0.009,1.914,m,FIX,NONE,2026-03-11 10:17:09.2 UTC+01:00,2026-03-11 10:17:14.2 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
69,,,,,,transect lampada 5,4.61925197,50.66894770,177.497,Global,0.008,0.010,0.016,0.012,1.914,m,FIX,NONE,2026-03-11 10:17:39.0 UTC+01:00,2026-03-11 10:17:44.0 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
70,,,,,,transect lampada 6,4.61924959,50.66896220,177.071,Global,0.004,0.007,0.012,0.009,1.914,m,FIX,NONE,2026-03-11 10:18:05.2 UTC+01:00,2026-03-11 10:18:10.2 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
71,,,,,,transect lampada 7,4.61924817,50.66897092,176.875,Global,0.005,0.010,0.018,0.011,1.914,m,FIX,NONE,2026-03-11 10:18:40.4 UTC+01:00,2026-03-11 10:18:45.4 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
72,,,,,,transect lampada 8,4.61924680,50.66898217,176.747,Global,0.006,0.009,0.016,0.011,1.914,m,FIX,NONE,2026-03-11 10:18:59.4 UTC+01:00,2026-03-11 10:19:04.4 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
73,,,,,,transect lampada 9,4.61924560,50.66899496,176.411,Global,0.010,0.013,0.041,0.016,1.914,m,FIX,NONE,2026-03-11 10:19:19.4 UTC+01:00,2026-03-11 10:19:24.4 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
74,,,,,,transect lampada 10,4.61924421,50.66900861,176.122,Global,0.012,0.010,0.017,0.015,1.914,m,FIX,NONE,2026-03-11 10:19:41.2 UTC+01:00,2026-03-11 10:19:46.2 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
75,,,,,,transect lampada 11,4.61924262,50.66902355,175.994,Global,0.005,0.011,0.013,0.012,1.914,m,FIX,NONE,2026-03-11 10:20:04.0 UTC+01:00,2026-03-11 10:20:09.0 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
76,,,,,,transect lampada 12,4.61924029,50.66904368,175.921,Global,0.005,0.008,0.012,0.009,1.914,m,FIX,NONE,2026-03-11 10:20:24.4 UTC+01:00,2026-03-11 10:20:29.4 UTC+01:00,26,1.2,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
77,,,,,,transect lampada 13,4.61923701,50.66906935,175.806,Global,0.005,0.007,0.010,0.009,1.914,m,FIX,NONE,2026-03-11 10:20:51.8 UTC+01:00,2026-03-11 10:20:56.8 UTC+01:00,26,1.2,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
